material,growth_level,n_nodes,beta,tau,r2,rmse,t_median,mean_first_time,std_first_time,n_nucleated,nucleation_rate,nucleation_regime,pressure,regime_recalculated,regime_matches,weibull_median,median_residual,median_relative_error_pct,inv_tau,cv_first_time
ZIF-67 (SOD),7,855,0.7877065348468051,18.19621395417549,0.9920578213808164,0.0171886278668233,13.0,21.58,28.52373748301579,50,1.0,Intermediate,24.0,Intermediate,True,11.426352902509963,1.5736470974900367,12.104977673000283,0.05495648724060698,1.32176726056607
ZIF-67 (SOD),7,855,0.7099395904234183,26.56742689980356,0.986917137172892,0.0216872909719882,17.0,33.72,45.61931170019995,50,1.0,Intermediate,25.0,Intermediate,True,15.854075653801331,1.1459243461986688,6.740731448227463,0.03764007721829448,1.3528858748576498
ZIF-67 (SOD),7,855,0.8191739652645673,17.9797542450866,0.9824817044129792,0.023166350142749,14.5,22.88,36.025346632614095,50,1.0,Intermediate,26.0,Intermediate,True,11.494040388611088,3.0059596113889118,20.730755940613186,0.055618112815600584,1.5745343807960706
ZIF-67 (SOD),7,855,0.5470138890663737,28.231893207261333,0.9796934209038832,0.0217865035138252,16.5,47.895833333333336,82.05060419829677,48,0.96,Rate-less (Sear),27.0,Rate-less (Sear),True,14.44614235944225,2.0538576405577498,12.447622063986362,0.03542093307942936,1.7131052638182882
ZIF-67 (SOD),7,855,0.635665312759233,24.977285519284344,0.9821543387623236,0.0230598908373117,14.5,35.68,54.24294977229759,50,1.0,Rate-less (Sear),28.0,Rate-less (Sear),True,14.03262866109209,0.4673713389079097,3.223250613157998,0.0400363762198228,1.520262045187713
ZIF-67 (SOD),7,855,0.7285079677043902,32.10485112543882,0.8615343095117904,0.0201932852832716,18.0,134.14,696.0082761002199,50,1.0,Intermediate,29.0,Intermediate,True,19.412290038750065,-1.412290038750065,-7.846055770833694,0.03114794072998,5.188670613539734
ZIF-71 (RHO),7,1695,0.8843939544889914,6.551896990671583,0.9837252130989004,0.0315789411335365,4.0,7.24,7.2043320301052205,50,1.0,Intermediate,26.0,Intermediate,True,4.328979945298051,-0.32897994529805086,-8.224498632451272,0.15262755220721166,0.995073484821163
ZIF-71 (RHO),7,1695,0.8573534312317573,8.703269899182542,0.969147057403966,0.0411932153374711,6.0,9.16,9.15065025011884,50,1.0,Intermediate,27.0,Intermediate,True,5.67576536517331,0.32423463482668957,5.403910580444826,0.11489934376204113,0.9989792849474716
ZIF-71 (RHO),7,1695,0.8470448783088579,4.414855561375512,0.981831851524242,0.0314649324496081,4.0,5.06,5.232246171578704,50,1.0,Intermediate,28.0,Intermediate,True,2.8641715040208346,1.1358284959791654,28.395712399479134,0.2265079765573204,1.0340407453712854
ZIF-71 (RHO),7,1695,0.8541821031448933,10.337636301773186,0.986817018535695,0.0260953441353909,8.0,11.66,12.92998066510542,50,1.0,Intermediate,29.0,Intermediate,True,6.730912372900025,1.2690876270999754,15.863595338749692,0.09673391197061874,1.1089177242800532
ZIF-71 (RHO),7,1695,0.7226771000998287,6.796586645412853,0.981816831557636,0.0301768665704668,4.0,8.04,8.68322520726026,50,1.0,Intermediate,30.0,Intermediate,True,4.092927641652445,-0.09292764165244538,-2.3231910413111345,0.14713267882414463,1.080003135231376
ZIF-71 (RHO),7,1695,0.8866610994714066,10.320040140055994,0.9783241048553504,0.0311740285296109,8.0,12.34,15.635357367198232,50,1.0,Intermediate,31.0,Intermediate,True,6.82590284579009,1.1740971542099103,14.67621442762388,0.09689884791422665,1.267046788265659
