material,metric,n,OLS slope / MPa,OLS R2,OLS p,Spearman rho,Spearman p
ZIF-67 (SOD),beta,6,-0.022599306997223536,0.17797430765346026,0.4047359926015343,-0.3714285714285715,0.46847813411078715
ZIF-67 (SOD),tau,6,2.143568590769535,0.5078735768063155,0.11198994492190079,0.6,0.20799999999999982
ZIF-67 (SOD),mean_first_time,6,16.96273809523809,0.5536731429846328,0.08985368211076698,0.8857142857142858,0.01884548104956266
ZIF-67 (SOD),inv_tau,6,-0.003772886150992033,0.4648256839480827,0.1357828326016308,-0.6,0.20799999999999982
ZIF-67 (SOD),nucleation_rate,6,-0.0011428571428571438,0.01714285714285714,0.8047261622231062,-0.13093073414159545,0.8047261622231061
ZIF-71 (RHO),beta,6,-0.011015886961362131,0.11516768513002634,0.5104963918432146,-0.08571428571428573,0.8717434402332361
ZIF-71 (RHO),tau,6,0.5440984778860191,0.18762441447659184,0.3909008429930328,0.48571428571428577,0.3287230320699709
ZIF-71 (RHO),mean_first_time,6,0.8211428571428571,0.3125124130330982,0.2488094645165727,0.6,0.20799999999999982
ZIF-71 (RHO),inv_tau,6,-0.008906216596151892,0.11520405293137373,0.5104252818299858,-0.48571428571428577,0.3287230320699709
ZIF-71 (RHO),nucleation_rate,6,0.0,0.0,1.0,,
